class,text,language
0,Labarin 'yan Adam shine labarin maza da mata da suka sayar da kansu gajere - Abraham Maslow.,hausa
1,Ọ bụrụ na ị gaghị nyochaa ihe niile Kemi kwuru ma gaa n'ihu ọha na-ekwu okwu ụgha ya mgbe ahụ ị bụ a worm. Otunba a nwụrụ site Ulcer na ọ bụghị Coro dị ka nwaanyị a crazy chọrọ ka ndị mmadụ kwere.,igbo
1,"Ya ku Arewa Twitter, Naga Hausa na yanzu na zamani Duk wanda yah zagi yaranmu nah Hausa kuh cimasa uwa.",hausa
0,Ịtụgharị uche bụ mma agha nwere ihu abụọ. Ọ na-agbasa ụzọ abụọ. Kwuo okwu n'ezie. Ma egbula ihe niile na-eji nnukwu brush stroke maka mpụ ma ọ bụ ezughị okè nke ole na ole. ọ dịghị onye na-emeri!,igbo
0,Guardiola na farko da Manchester City ta sanya hannu shi ne Ilkay Gundogan LINK,hausa
2,"Wadannan 'yan kabari, wadanda suka yi ritaya da suka kona motoci a Apo Mechanic a yau a Abuja ba za su iya sayen daya ba, wadannan yara fulani marasa karatu. ",hausa
0,"Biafra: A kò ní pààrò Biafra fún ""Ìjọba Igbo"": IPOB sọ fún Okorocha àti Iwuanyanwu pé, àwọn ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹ",yoruba
0,"Femi ba zai takaici ba, Yoruba maza suna da ilimi da kuma horo.",hausa
2,"Nítorí pé a máa ń fi òye sọ̀rọ̀ nípa ohun tó ṣe pàtàkì jù lọ, tí ẹ̀bi sì máa ń mú káwọn èèyàn tọrọ àforíjì nítorí àwọn ohun tó jẹ́ ti ẹ̀yà wa.",yoruba
2,Women are scum😢,english
2,"Ma ọ dịkarịa ala, o nwere ihe na-enweghị isi dị ka onye nta akụkọ Sahara iji gbasaa ịkpọasị.",igbo
0,God can disqualify your enemies to qualify you. God of FRODD did it,english
1,Kullum kana sa ni hauka,hausa
0,Àwọn ará Ásíríà tí ń bẹ níhìn-ín,yoruba
0,Chineke!!!! Ọ bụrụ na nwa agbọghọ a enye m ìhè na-acha akwụkwọ ndụ m  na-ehichapụ m niile m nwaanyị kọntaktị 😭😭😂😂😂,igbo
0,Ti a fi sinu,yoruba
0, :     U either don’t know wat Islam is all about or not a real Musl…,english
2,Wata mace za ta kwana da wani dan negro mai kudi kawai saboda ba ta da mata isa ta samu kanta shit .,hausa
0,Daga cikin lay lay,hausa
1,"'Yan uwan Yoruba na yanzu sun fahimci abin da 'yan IPOB suka fuskanta a hannun wadannan mugayen mutane a iko. amma labari mai dadi a nan shi ne, ba kai kadai ba ne a wannan, Najeriya ba ta aiki ga kowa.",hausa
2,"A lokacin da na rubuta wannan labarin, yawancin su suna fama da bugun zuciya. ko kuma...",hausa
0," : Everywhere is about Biafra,don’t keep calm  enjoy the dedicated support of a large group of freedom lovers around…",english
1,"Ihere na - eme gị , ndị iberiibe .",igbo
0,Nrụrụ aka dị ebe niile,igbo
0,Wata rana mai dadi,hausa
1,"Mr man there are plenty youths in your shops wasting their time getting controlled by your puppets,(naira bet)you will nor talk to them because they are the ones putting money in your pocket... in 3D LINK",english
1,"Har yanzu bai samu takardar ba, har yanzu yana sayen karin mummies na Lagos a kullum.",hausa
1,Ọ na-agha ụgha ọtụtụ ugboro ma na-achọta mmejọ n'ihe niile na-adịghị n'ụzọ ya. O boro ọbụna Arbery igbu onwe ya na mgbe ahụ insinuated George kwesịrị nwụrụ dị ka ewu n'ihi na o nwere gara aga mpụ ndụ.,igbo
0,Ụgbọala ndị na-agba ọsọ na-amasị m,igbo
2, Northerners spitting trash as usual.. The end of This unhealthy romance btw the North n South is long overdue.. Our way of life n ideologies r way diff..,english
0,"OMG gay guys ne don haka mai kyau da fashion, Ina da wani gay BFF don haka mu cud shop 2geda",hausa
0,Hanyar da Za a Bi,hausa
0,Women that leave there kids one kilometers behind when walking. What's their aim in this life?,english
0,Jonathan wanda ya dauki kwanaki 18 don ya yarda cewa BH ya sace ' yan matan Chibok,hausa
2,"Ní báyìí, àwọn ọmọ ogun fulani ti ń fipá bá àwọn obìnrin lò pọ̀, a ti rí i pé àwọn olùṣọ́ àgùntàn fulani, àwọn aládùúgbò fulani àti fulani bokoharam ni àwọn ẹranko pàápàá ń gba ìyọ́nú àwọn obìnrin, èyí tó túmọ̀ sí pé àwọn ọmọ ogun fulani kò ju àwọn ẹranko lọ.",yoruba
2,Ihe niile gbasara ndọrọ ndọrọ ọchịchị na ndị a Northern dummies,igbo
2,Ndị ọzọ na-agbachitere okwukwe ha mgbe ndị Kraịst na-emebi okwukwe ha mgbe ị na-adịghị akwado nna gị onye ga-ekwuchitere gị mgbe olu gị kwesịrị ịnụ.,igbo
1,"Sega na-ahọrọ tweet nke na-akwado Snooty ya Bigoted prig nke onye, na-ehota tweet na a Lopsided comment, tara ahụhụ na ajọ mbunobi - mgbe ahụ na-akpali ya enweghị nchebe ndị ọzọ!",igbo
2,"Ní báyìí mo ti mọ ibi tí ìfẹ́ ọkàn yín wà, láti ní orílẹ̀-èdè kan tí wọ́n ṣe ní irú àwọn ọmọ ẹ̀sìn Ìsálómù tí wọ́n ń ṣe ní ààlà.",yoruba
2,Haka ne saboda mutanenmu makafi ne kuma sun sayar da kansu a gare su....... Tambayar ita ce idan Sinawa ne ke tallafawa tashin hankali a Arewa a yanzu?????,hausa
2,  Lazy Nigerian youth🙄,english
0,"A nan ne Oyigbo a jihar Rivers, inda Fulani suka kashe mutane a daren jiya.",hausa
0,Sai dai idan ka tuba ka yi baftisma za ka ƙone a jahannama. abu daya kawai halal ba shine zama Kirista.,hausa
1,Na wawa yarinya da ke son amfani da Nengi Trend .. ya kamata ka lashe HOH don mu ga yadda ka jagoranci duk ka yi shi ne ya jagoranci ta hanyar barci tare da yabo wawa,hausa
2,Gbogbo eniyan ni lati wa ni Ashewo fun Ile-iṣẹ abeg... bitch shaming ko si ohun titun!,yoruba
2,    Forget the useless aboki..as if the North is a monolithic society..indigenous Christians and Muslims in the North are 50/50 .but they have used all sorts of religious banditry to silence those ones. Bigotry is there main weapon. Alamajiris are there foot soldiers. Bastard,english
2,Ẹ fi ẹ̀rù bà á yín.,yoruba
1,Ẹ̀yìn àtìpó tí ń bẹ láàyè 😭😂😂😂,yoruba
1,"Ọ bụrụ na ị na-akọghị mgbe ahụ, kedu uru ị na-akọ ugbu a? All unu ndị internet idiots lol... otú ahụ ka m hụrụ a post na a nwaanyị kọrọ a nwa okorobịa, na ọ rụrụ arụ ya azụ na 4th klas... Bitch kwụsị enweghị a 3rd echiche nke ihe.",igbo
1, Must be a fool!sh politician to have really thought that.,english
1,Ha sịrị na anyị bụ ndị na-ere ahịa ọgwụ na ndị na-ere ọgwụ ọjọọ mana ihe na-atọ ọchị bụ na ọbụna ndị na-eri ọgwụ ọjọọ na-esonyere mwakpo ahụ ma na-apụnara ndị nzuzu ọgwụ ọjọọ 😅🤣,igbo
2,"Thunder zai kore ka, kana ganin mu wawaye ne kamarka, ba ka biya N-power kudinsu ba kuma kana karya cewa kana ba da kudi mara amfani. Baro bansa, ole(baftisma). Hausa mace mara amfani, koma dakinka, ka gaza sosai 🤗🤗🤗🤗",hausa
2,"    It has been known and proven that most Hausa people are dumb! 
You’re very dumb! Very very",english
1," Did I beg u to follow me..
Y not block me with concrete..
Ewu hausa..
Fulani cow..
Better block ur life out from here",english
0,LINK,english
2,"All Diz hoe nd bitches be acting like ""We Run The Town"" ",english
2,"Ihere mee ndị ohu ndịda bụ́ ndị na-enye ndị iberibe a obi ike ịnọgide na-ewe ihe ubi n'ebe ha na-akọghị mkpụrụ. Oge eruola ka anyị hapụ ndị ahụ na-egbu egbu ma chee ndị iro anyị ihu. amaghị ihe ha, ịchọ ọdịmma onwe ha nanị na anyaukwu ha bụ ihe egwu maka ọdịmma nke ndịda.",igbo
2,"Ụmụ agbọghọ na obere akpa na azụ na-enwe anyaụfụ mgbe niile na ndị na nnukwu nnukwu! Ọtụtụ ụmụ agbọghọ na nnukwu nnukwu bụghị niile ooo ha enweghị uche ha na-eche mgbe niile na ha kwesịrị inweta ihe niile n'efu lol! ụmụ agbọghọ na-ebubiga ibu elu na ala nwere otu ihe mkpali quote, REAL MEN EAT MEAT NOT BONE",igbo
2, Absolutely right; Arewa pastors went for excursion at the Aso Rock villa just to disgrace themselves.,english
1,Ina karkatar da masu sukar kamar ku har sai kun yi wa kanku ba'a.,hausa
1,kò sí ẹ̀bi rẹ tí kò fi mọ́ ẹ̀kọ́ ilé.,yoruba
2,"Wadannan 'yan Hausa suna da mugunta da son kai, kuna ci gaba da wanke kwakwalwar al'ummarku yayin da kuke tura yaranku zuwa kasashen waje inda suke koyon abubuwa da yawa banda koyarwar ku ta Larabci.",hausa
2,"*Yarinya ga yarinya*: ""Kana da kyau!"" *Haba, na gode, haka ma kake da shi!"" *Gay ga saurayi*: ""Kana da kyau"". *Olushi! Allah ya hukunta ka!",hausa
1,Gịnị mere na ị na-ekwu okwu elu mgbe Buhari họpụtara niile Muslim fulani fọrọ nke nta niile ọnọdụ na Nigeria Ewu!,igbo
2,M nnọọ ekweta. dị nnọọ ka ụfọdụ mara mma na-ele anya pussy bụ nnọọ isi ... mma ịhụ &amp; apos; na-eche ma anụ ahụ 😆,igbo
2,Ọ dịghị mfe Abi na naanị ndịda nweta Nigeria na ndị ugwu na- mumu ugbu a,igbo
1,"Idan Adamu yana ciyar da lokaci tare da Hauwa'u, ta ba su bi maciji magana.",hausa
0," No region is as tolerant as the North. You see Yorubas/Igbo living comfortably in every part of the North while the crimes of a few herdsmen affects every Northerner living in the southern Nigeria 

This has to stop. 


 is  LINK",english
0,M bu ezigbote iti gosi m otú i si na-eme ememe na Biafran ọkọlọtọ na m ga-eti gị mkpu. ị chọrọ onye na-anọchite anya Naija na mba otu na-efe Biafran ọkọlọtọ. ị chọrọ enyemaka,igbo
1,"kuma wasu idan u yi wani mataki kuma sowore kuma yi wani mataki abin da yake da mummunan abu a cikinsa lokacin da Sahara rp ya ce yele da sauransu, bari mu ci gaba da natsuwa girman kai kada mu biya lissafin. bari mu hada kai kamar Biafra da Arewa matasa yele ba mu matsala ooooh u kira shi agbaya haka bakin ciki.",hausa
1,"Ọ̀nà tí mi ò fi nífẹ̀ẹ́ àwọn orin Yorùbá ehh, bó tilẹ̀ jẹ́ pé mi ò rí bí wọ́n ṣe ń sọ nǹkan",yoruba
0,"""Ìwọ kàn gbàgbé mi"" àmọ́ kò kọ́kọ́ rí i. ",yoruba
0,Just the one new follower today found welcome tracked by LINK,english
1,mo ò mọ ohun tí ọkùnrin macaroni yẹn ń gbìyànjú láti ṣe nínú àwọn àròsọ tí kò wúlò tí ó fi sí ayélujára. láti fi ojú àwọn obìnrin ṣe ohun tó yẹ kó ṣe títí dé fífi ohun tó dára gbéjà ko oògùn olóró. ọmọkùnrin yẹn ò ní èrò inú. ó ń sọ̀rọ̀ burúkú nípa nàìjíríà ṣùgbọ́n ó kọ̀ láti dá ara rẹ̀ lẹ́bi.,yoruba
2,"Wallahi if u equate lesbians &amp; homosexuals 2 animals lyk pig then u r not being fair 2 animals, even animals don't hv desire 4 the same sex!",english
2, All na wash. Religion that is known from the day Mohammed founded to religion of blood letting. Why do you classify this as religious war. We are in the twenty first century. No more deceit. It is purely Fulanis quest for conquest and must be resisted.,english
2,"Àwọn ọmọ Nàìjíríà ń ṣiṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́, àwọn ọmọ àwọ̀n ń ṣe iṣẹ́",yoruba
1,"Ị naghị eme mkpesa mgbe ndị ọzụzụ atụrụ na-egbu ndị aka ha dị ọcha, ma mgbe e gburu otu n'ime ha, ị na-eme mkpesa.",igbo
1,Black Americans are the worst LINK,english
2,"Nyere m aka ịgwa nwunye m ka o nyefee ụmụ ya na ezinụlọ ya n'aka ndị Fulani na-azụ atụrụ ka e gbuo ha, mgbe nke ahụ gasịrị, m nwere ike iwere ya dị ka ihe dị mkpa.",igbo
1,O sọ pé ó máa rọrùn fún PDP láti ṣe bíi,yoruba
1,"Ngozi Okonjo Iweala maintained her native name despite her exposures &amp; achievements.. But you'll see one coconut head girl forming porch with tore pant answering mhiz this mhiz that, itz this itz that... Etibôlibó",english
0,sodebaba Second man arrested over rape of Indian child: Suspect detained in eastern state of Bihar in connecti... LINK,english
0,Ọ bụ ya mere o ji kwuo na ọ bụ ya bụ onye na-eme ihe ike.,igbo
1,Wannan sh*t yana da matukar dacewa 😭😂😭💔 Wannan Buhari ne Hausa ne ya yi magana da shi Tunde Bakara ne ya yi magana da shi NNPC ne ya yi magana da shi Owerri ne ya yi magana da shi Najeriya ne ya yi magana da shi Biafra LINK,hausa
0,Akuna ma tata f d masu ƙiyayya,hausa
1,"Ị bụ onye iberiibe, ọ dịghị ihe jikọrọ ya na ịbụ onye na-ekpo ọkụ ma ọ bụ onye mara mma.",igbo
2,Home akọkọ duro ti n ṣaṣeyọri akoko rẹ ti n ṣaṣeyọri awọn Southerners jẹ awọn afiniṣeleri ko ti wọn celeb tabi eyikeyi eniyan ti o wa ni gbangba n ṣe iranlọwọ fun wa ti n ṣaṣeyọri ṣugbọn awọn celeb ati awọn eniyan ti o wa ni gbangba ko ni yi ihuwasi  ♂️ nibẹ gbọdọ wa ni a farasin eto ,yoruba
1,Yoruba boys ba su san abin da suka kira da sauri... za su yi maka kama ko da brigade na masu gadi suna zuwa a sirens,hausa
2,"Ị bụ onye nnọchianya kwesịrị ekwesị nke ndị anyị, na-eme ka ndị Fulani na-azụ atụrụ na-egbu ndị anyị.",igbo
1,O jẹ aṣiwere fun ṣiṣe eyi si ara rẹ ... odeh,yoruba
0,    Who gave this niggur this matter to handle?,english
0,  lols,english
1,"su ne mafi yawan bankunan da ba su da amfani da mafi munin sabis na banki, ba za su iya tsayawa tare da wani bankin microfinance ko da ibolo ko balogun Fulani microfinance bank awon oloshi arindoti masafani",hausa
0,"Kò sí irọ́, kàn fi ohun tó bá kọ́kọ́ wá sí ẹ́ lọ́kàn sílẹ̀!",yoruba
1,"Very sickening to know that the father gave consent.I really appreciate the bros making the video,he is actually doing this to stop the bullshit,not like those who would wait till tins get worse and then video it for clout! Poor child! LINK",english
0," Half a yellow sun is out in theaters &amp; the
 war never ended    honour
 Hero's pls  Starved kids",english
0,Ụmụ agbọghọ Unilag nọ n'apịtị 😂😂😂 LINK,igbo
1,"Mafi yawan abubuwan da ba su da ma'ana da kuma mafi yawan abubuwan da ba su da ma'ana da aka yi a shafin yanar gizo ......da aka yi a gabanku duk kuna buɗe bakunanku, na zauna a Arewa maso gabas kuma ni Kirista ne.",hausa
1,"Unu ndị mmadụ kwụsị izochi eziokwu na ị kpọrọ asị Buhari n'ihi ebe ọ na-ahọrọ VP, Echere m na ndị nzuzu ahụ kpọrọ asị hausa / Fulani amaghị na ọ bụ n'ihi VP oghere-abaghị uru ndị mmadụ",igbo
0,Happy birthday kike 😊❤️ ,hausa
2,Ọ bụ gọọmenti Naịjirịa na-ahụ maka ya. Ha bụ ndị were ndị iyi ọha egwu. Naanị ihe ha na-achọ bụ inweta ala dum na ndị na-agba ha gburugburu n'Ebe Ọwụwa Anyanwụ na-enye ha obi ike ịnọgide na-anwa ihe na-agaghị ekwe omume. Chineke ga-ebibi Naịjirịa n'ezie.,igbo
1,"Wannan ba daidai ba ne, shi ya sa kuke ci gaba da yin lalata da ku, idan ba haka ba ne ba za a iya samun guba a kusa da ku ba.",hausa
2,"I wish I ave seen dis book b4 now MEN LOVE bitches# single or in a relationship,go get it Ladies.Gud Goons",english
0,Mutane biyu da aka kashe a wani zanga-zanga na Jacob Blake sun kasance uba da kuma mai wasan skate wanda ya yi kokarin kawar da makami.,hausa
1,: E nwere agbụrụ anọ dị mkpa na Naịjirịa : 1- Hausa/Fulani 2- Yorubas 3- Pigs 4- Igbos,igbo
1,"Oloshi catfish werey, ogun kee ị",igbo
1,"Ọmọbìnrin mi tó ti pé oṣù mẹ́ta béèrè bóyá o rántí pé o ti kú, àti pé o ti kú.",yoruba
1,"Allah ya taimake ni, ina fata wannan numskull mai suna Daddy Freeze ba Yoruba ba ne! irin wannan banza mai magana da banza da irin wannan amincewa!",hausa
0,Ó yẹ kí n gbọ́:  Koba ft Lil Kesh LINK ,yoruba
2,": Orúkọ tí IPOB máa ń fún àwọn Fulani Janjaweed, àìsàn gíga ẹ̀jẹ̀ sì máa ń mú kí wọ́n di ara wọn òmùgọ̀, wọ́n sì máa ń ṣe...",yoruba
0, : The NASS should also go ahead to put down a law that ban open grazing across Nigeria by 2026. While the Southern States…,english
2,"Ndị ugwu bụ isi ihe mere na-eme Nigeria mgbe mma, ndị ikom ndị a na-aghọta oke, na-eche dị ka a egweri egg na-akpa àgwà dị ka a ehi!!! nzuzu ebo!!! m na-ekenye ụlọ m, mee una igbu m sonyere, niile na vibes ",igbo
1,Little grls still fall for looks and swag  bitches fall for money but a grown woman falls for stability and security....,english
1,Ba za ka yi nasara ba,hausa
2,"Nke ahụ bụ ozi ọzọ ị na-enweta site na nwa agbọghọ ndịda mgbe ị na-akparịta ụka na ya bụ na ""Enweghị m data plz recharge ekwentị m"" onye iberibe ashawo ndị mmadụ",igbo
1,"Echere m na ị bụ onye na-agụ akwụkwọ na-enweghị akwụkwọ. Ị bụ onye ọjọọ. Kwụsị ihi ụra na ọrụ, obere nwa",igbo
2,O yoo ni isoro pẹlu rẹ jẹ gay gangan ni awọn ara rẹ isoro sigh .. o homophobic bitch yẹ ki o kọ bi o ṣe le mu omi ati ki o ronu nipa rẹ ibalopo :-x,yoruba
2,"àwọn kan lára àwọn ará àríwá tó kẹ́kọ̀ọ́ dáadáa ṣì ò mọ ohun tó ń mú kí àwọn èèyàn yín hùwà bí ẹranko, ẹ̀yin ò mọ ohun tó ń fa ìṣòro yín, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́, ẹ̀yin ò sì mọ ohun tó ń fa ìṣòro yín mọ́.",yoruba
1,"A gbagharala ya, n'ihi na ha na-eme ihere, na-asụ ọnụ ma na-aṅụ obere oroma na-acha odo odo n'efu nke iguzosi ike n'ezi ihe ha na mba ha, ihere na-adịghị.",igbo
1,"
The Government ordered the Nigerian military to kill its own citizens Unarmed protesters fighting for their right Oh what a shame! BUHARI Shame on you and your Regime. You have failed this Nation       LINK",english
1,Kpachara anya b 🙄,igbo
0,You're in a contemplative mood today and there's really not mu... More for Cancer LINK,english
2,Allah!!! Yoruba suna da wayo ban taɓa gani ba,hausa
1,"Orílẹ̀-èdè yín ń ṣubú, àwọn ọmọdé ẹlẹ́dẹ̀ yìí kò sì ní lè borí àbúrò ńlá wọn. Ẹ̀yin ẹ̀dá ènìyàn!",yoruba
0,"Ka m chetara gị ntuliaka nke afọ 2011, gaa lee ma gee ntị n'ihe Buhari kwuru mgbe ọ na-agwa ìgwè ndị Fulanis okwu, mgbe ọ sịrị na ọ bụrụ na ọ merighị, mgbe ahụ ọ bụ rig, na mgbe rig ya, ọbara nke baboon na nkịta ga-asọpụta, na ndụ ndị na-enweghị ihe ha mere bụ ihe efu, ma nwoke ma nwaanyị,...",igbo
0,"Ọ bụrụ na ụfọdụ ndị dị ka gị, ụwa ga-aka mma.",igbo
1,Gosi ihe akaebe ma ọ bụ ihe akaebe,igbo
0,"“DRUGS AGAIN""..hate sickness",english
2,Na ƙaunaci kiɗa kamar yadda na ƙaunaci zaki!,hausa
1,"wannan wawa a bayan wannan kamara ba zai yi kyau tare da ku, bayan na biyan kuɗi za ku nuna mini disco hasken Abi?",hausa
1,"Babu wanda yake son kansa ya zama banza. dole ne ya koyi girmama mutane biyu. Zai iya sukar farar hula tun da yake ya ce shi ma fasto ne. Wannan ra'ayin ""zama mai tsoro & rauni saboda kai Kirista ne dalilin da ya sa har ma 'yan ta'adda yanzu suna samun ƙarfin hali su hallaka Krista. Shin kun taɓa jin labarin"" Bishara ta Turai? """,hausa
